City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bethel,US,41.3712,-73.414,44.04,92,40,0.0,mist
80,Panara,IN,22.0667,78.55,56.93,57,5,3.09,clear sky
81,Port Alfred,ZA,-33.5906,26.891,69.91,89,100,18.07,light rain
82,Bredasdorp,ZA,-34.5322,20.0403,66.27,94,100,11.5,overcast clouds
83,Jamame,SO,0.0722,42.7506,76.62,90,99,6.62,light rain
84,Presidente Medici,BR,-11.1753,-61.9014,75.6,94,100,1.79,overcast clouds
85,Peniche,PT,39.3558,-9.3811,58.48,93,100,12.3,overcast clouds
86,Grand Gaube,MU,-20.0064,57.6608,79.38,87,100,4.99,overcast clouds
87,Sitka,US,57.0531,-135.33,21.09,53,40,5.75,scattered clouds
88,Dubova,RO,44.6167,22.2667,47.44,98,100,0.22,light rain
89,Hilo,US,19.7297,-155.09,75.27,53,43,9.44,scattered clouds
90,Quatre Cocos,MU,-20.2078,57.7625,79.09,78,100,3.47,overcast clouds
91,Saint-Philippe,RE,-21.3585,55.7679,78.39,85,51,1.95,light rain
92,Vestmanna,FO,62.1564,-7.1664,36.52,70,90,16.11,overcast clouds
93,Qaanaaq,GL,77.484,-69.3632,11.21,96,100,9.62,light snow
94,Porto Torres,IT,40.835,8.3972,59.18,85,100,12.55,overcast clouds
95,Hermanus,ZA,-34.4187,19.2345,66.9,88,100,13.47,overcast clouds
96,Oprisor,RO,44.2833,23.0833,46.72,91,100,3.29,light rain
97,Marfino,RU,55.7028,37.3822,14.34,85,20,13.42,few clouds
98,Saint-Pierre,RE,-21.3393,55.4781,78.48,76,20,4.61,few clouds
99,Zhezkazgan,KZ,47.8043,67.7144,13.98,92,90,13.42,light snow
100,College,US,64.8569,-147.8028,14.2,85,90,0.0,snow
101,Khatanga,RU,71.9667,102.5,-25.76,95,40,3.74,scattered clouds
102,Great Yarmouth,GB,52.6083,1.7305,39.45,81,92,18.63,overcast clouds
103,East London,ZA,-33.0153,27.9116,69.46,93,87,11.36,overcast clouds
104,Nouadhibou,MR,20.931,-17.0347,64.38,68,0,11.5,clear sky
105,Husavik,IS,66.0449,-17.3389,26.51,80,100,6.78,overcast clouds
106,Porto Belo,BR,-27.1578,-48.5531,75.18,76,63,10.29,broken clouds
107,Racale,IT,39.9631,18.0938,57.83,75,100,17.18,overcast clouds
108,Kopavogur,IS,64.1123,-21.913,34.02,76,75,5.75,snow
109,Geraldton,AU,-28.7667,114.6,106.21,9,2,23.02,clear sky
110,Kizema,RU,61.113,44.8302,11.05,97,100,2.73,light snow
111,Izberbash,RU,42.5696,47.8645,24.85,63,100,11.88,overcast clouds
112,Tottori,JP,35.5,134.2333,32.07,86,75,17.27,light shower snow
113,Bambous Virieux,MU,-20.3428,57.7575,79.21,88,40,3.44,scattered clouds
114,Solnechnyy,RU,50.7214,136.6319,-12.71,80,73,2.46,broken clouds
115,Ilulissat,GL,69.2167,-51.1,28.42,40,8,14.97,clear sky
116,Dingle,PH,10.9995,122.6711,79.52,85,81,12.73,broken clouds
117,Caravelas,BR,-17.7125,-39.2481,71.71,92,100,4.59,overcast clouds
118,Pathein,MM,16.7833,94.7333,70.23,73,0,5.35,clear sky
119,Kahului,US,20.8947,-156.47,78.82,67,1,18.41,clear sky
120,Hobart,AU,-42.8794,147.3294,66.11,44,75,3.0,broken clouds
121,Kruisfontein,ZA,-34.0033,24.7314,62.89,89,86,2.89,overcast clouds
122,Asau,RO,46.4333,26.4,28.76,100,100,3.67,light snow
123,Port Elizabeth,ZA,-33.918,25.5701,65.1,100,0,3.44,clear sky
124,Holme,DK,56.1138,10.1725,22.64,92,19,7.72,few clouds
125,Dikson,RU,73.5069,80.5464,-10.41,97,20,8.01,few clouds
126,Mugur-Aksy,RU,50.35,90.5,-6.39,63,12,6.69,few clouds
127,Hambantota,LK,6.1241,81.1185,73.51,75,4,11.61,clear sky
128,Torbay,CA,47.6666,-52.7314,28.58,85,75,23.02,broken clouds
129,Constitucion,CL,-35.3333,-72.4167,60.87,74,6,8.63,clear sky
130,Pochutla,MX,15.7432,-96.4661,77.85,88,76,1.52,broken clouds
131,Nanortalik,GL,60.1432,-45.2371,33.21,73,79,14.52,broken clouds
132,Bilma,NE,18.6853,12.9164,63.46,20,100,5.64,overcast clouds
133,Erzin,TR,36.9559,36.2,46.92,64,5,5.5,clear sky
134,Kodiak,US,57.79,-152.4072,36.91,87,1,0.0,clear sky
135,Rangpur,BD,25.75,89.25,60.26,59,0,5.61,clear sky
136,Tarija,BO,-21.5355,-64.7296,62.71,83,100,1.97,light rain
137,Namatanai,PG,-3.6667,152.4333,84.67,70,99,6.73,moderate rain
